fli	names
HHJKKDSXC_1_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJKKDSXC_2_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJKKDSXC_3_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJKKDSXC_4_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJY3DSXC_1_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJY3DSXC_2_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJY3DSXC_3_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJY3DSXC_4_8bp-UDP0161	A550_Acrantophis dumerili_WGS_001
HHJKKDSXC_1_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJKKDSXC_2_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJKKDSXC_3_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJKKDSXC_4_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJTTDSXC_1_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJTTDSXC_2_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJTTDSXC_3_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJTTDSXC_4_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJY3DSXC_1_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJY3DSXC_2_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJY3DSXC_3_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJY3DSXC_4_8bp-UDP0162	A563_Coronella girondica_WGS_009
HHJKKDSXC_1_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
HHJKKDSXC_2_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
HHJKKDSXC_3_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
HHJKKDSXC_4_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
HHJY3DSXC_1_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
HHJY3DSXC_2_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
HHJY3DSXC_3_8bp-UDP0163	A567_Ctenosaura bakeri_WGS_010
