fli	names
HHJKKDSXC_1_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJKKDSXC_2_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJKKDSXC_3_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJKKDSXC_4_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJY3DSXC_1_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJY3DSXC_2_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJY3DSXC_3_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJY3DSXC_4_8bp-UDP0147V3	A572_Ammotragus lervia_WGS_003
HHJKKDSXC_1_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJKKDSXC_2_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJKKDSXC_3_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJKKDSXC_4_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJY3DSXC_1_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJY3DSXC_2_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJY3DSXC_3_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJY3DSXC_4_8bp-UDP0148V3	A568_Callimico goeldii_WGS_004
HHJKKDSXC_1_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJKKDSXC_2_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJKKDSXC_3_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJKKDSXC_4_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJTTDSXC_1_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJTTDSXC_2_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJTTDSXC_3_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJTTDSXC_4_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJY3DSXC_1_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJY3DSXC_2_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJY3DSXC_3_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJY3DSXC_4_8bp-UDP0149	A501_Ceratotherium simum_WGS_008
HHJKKDSXC_1_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
HHJKKDSXC_2_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
HHJKKDSXC_3_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
HHJKKDSXC_4_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
HHJY3DSXC_1_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
HHJY3DSXC_2_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
HHJY3DSXC_3_8bp-UDP0150	A581_Aldabrachelys gigantea_WGS_012
