fli	names
H7VWWDSXF_1_8bp-UDP0307	A435_Ramphastos toco_WGS_175
H7VWWDSXF_2_8bp-UDP0307	A435_Ramphastos toco_WGS_175
H7VWWDSXF_3_8bp-UDP0307	A435_Ramphastos toco_WGS_175
H7VWWDSXF_4_8bp-UDP0307	A435_Ramphastos toco_WGS_175
H7VWWDSXF_1_8bp-UDP0308	A177_Bubo scandiacus_WGS_181
H7VWWDSXF_2_8bp-UDP0308	A177_Bubo scandiacus_WGS_181
H7VWWDSXF_3_8bp-UDP0308	A177_Bubo scandiacus_WGS_181
H7VWWDSXF_4_8bp-UDP0308	A177_Bubo scandiacus_WGS_181
H7VWWDSXF_1_8bp-UDP0309	A256_Strix aluco_WGS_182
H7VWWDSXF_2_8bp-UDP0309	A256_Strix aluco_WGS_182
H7VWWDSXF_3_8bp-UDP0309	A256_Strix aluco_WGS_182
H7VWWDSXF_4_8bp-UDP0309	A256_Strix aluco_WGS_182
H7VWWDSXF_1_8bp-UDP0310	A578_Python regius_WGS_186
H7VWWDSXF_2_8bp-UDP0310	A578_Python regius_WGS_186
H7VWWDSXF_3_8bp-UDP0310	A578_Python regius_WGS_186
H7VWWDSXF_4_8bp-UDP0310	A578_Python regius_WGS_186
H7VWWDSXF_1_8bp-UDP0311	A155_Halcyon malimbica_WGS_197
H7VWWDSXF_2_8bp-UDP0311	A155_Halcyon malimbica_WGS_197
H7VWWDSXF_3_8bp-UDP0311	A155_Halcyon malimbica_WGS_197
H7VWWDSXF_4_8bp-UDP0311	A155_Halcyon malimbica_WGS_197
H7VWWDSXF_1_8bp-UDP0312	A383_Amazona brasiliensis_WGS_201
H7VWWDSXF_2_8bp-UDP0312	A383_Amazona brasiliensis_WGS_201
H7VWWDSXF_3_8bp-UDP0312	A383_Amazona brasiliensis_WGS_201
H7VWWDSXF_4_8bp-UDP0312	A383_Amazona brasiliensis_WGS_201
H7VWWDSXF_1_8bp-UDP0313	A452_Dracaena guianensis_WGS_228
H7VWWDSXF_2_8bp-UDP0313	A452_Dracaena guianensis_WGS_228
H7VWWDSXF_3_8bp-UDP0313	A452_Dracaena guianensis_WGS_228
H7VWWDSXF_4_8bp-UDP0313	A452_Dracaena guianensis_WGS_228
H7VWWDSXF_1_8bp-UDP0276	A232_Tyto alba_WGS_234
H7VWWDSXF_2_8bp-UDP0276	A232_Tyto alba_WGS_234
H7VWWDSXF_3_8bp-UDP0276	A232_Tyto alba_WGS_234
H7VWWDSXF_4_8bp-UDP0276	A232_Tyto alba_WGS_234
HCTHHDSXF_1_8bp-UDP0276	A232_Tyto alba_WGS_234
HCTHHDSXF_2_8bp-UDP0276	A232_Tyto alba_WGS_234
HCTHHDSXF_3_8bp-UDP0276	A232_Tyto alba_WGS_234
HCTHHDSXF_4_8bp-UDP0276	A232_Tyto alba_WGS_234
HF7Y5DSXF_1_8bp-UDP0276	A232_Tyto alba_WGS_234
HF7Y5DSXF_2_8bp-UDP0276	A232_Tyto alba_WGS_234
HF7Y5DSXF_3_8bp-UDP0276	A232_Tyto alba_WGS_234
HF7Y5DSXF_4_8bp-UDP0276	A232_Tyto alba_WGS_234
H7VWWDSXF_1_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
H7VWWDSXF_2_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
H7VWWDSXF_3_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
H7VWWDSXF_4_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
HF7Y5DSXF_1_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
HF7Y5DSXF_2_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
HF7Y5DSXF_3_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
HF7Y5DSXF_4_8bp-UDP0277	A101_Ciconia ciconia_WGS_239
H7VWWDSXF_1_8bp-UDP0278	A281_Eclectus roratus_WGS_240
H7VWWDSXF_2_8bp-UDP0278	A281_Eclectus roratus_WGS_240
H7VWWDSXF_3_8bp-UDP0278	A281_Eclectus roratus_WGS_240
H7VWWDSXF_4_8bp-UDP0278	A281_Eclectus roratus_WGS_240
HCTHHDSXF_1_8bp-UDP0278	A281_Eclectus roratus_WGS_240
HCTHHDSXF_2_8bp-UDP0278	A281_Eclectus roratus_WGS_240
HCTHHDSXF_3_8bp-UDP0278	A281_Eclectus roratus_WGS_240
HCTHHDSXF_4_8bp-UDP0278	A281_Eclectus roratus_WGS_240
H7VWWDSXF_1_8bp-UDP0314	A431_Spheniscus demersus_WGS_253
H7VWWDSXF_2_8bp-UDP0314	A431_Spheniscus demersus_WGS_253
H7VWWDSXF_3_8bp-UDP0314	A431_Spheniscus demersus_WGS_253
H7VWWDSXF_4_8bp-UDP0314	A431_Spheniscus demersus_WGS_253
