fli	names
HHJ7KDSXC_1_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HHJ7KDSXC_2_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HHJ7KDSXC_3_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HHJ7KDSXC_4_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HJGHLDSXC_1_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HJGHLDSXC_2_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HJGHLDSXC_3_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HJGHLDSXC_4_8bp-UDP0097	A583_Aepyceros melampus_RNA_68
HHJ7KDSXC_1_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HHJ7KDSXC_2_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HHJ7KDSXC_3_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HHJ7KDSXC_4_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HJGHLDSXC_1_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HJGHLDSXC_2_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HJGHLDSXC_3_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HJGHLDSXC_4_8bp-UDP0098	A176_Ailuropoda melanoleuca_RNA_69
HHJ7KDSXC_1_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HHJ7KDSXC_2_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HHJ7KDSXC_3_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HHJ7KDSXC_4_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HJGHLDSXC_1_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HJGHLDSXC_2_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HJGHLDSXC_3_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HJGHLDSXC_4_8bp-UDP0099	A404_Ailurus fulgens_RNA_70
HHJ7KDSXC_1_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HHJ7KDSXC_2_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HHJ7KDSXC_3_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HHJ7KDSXC_4_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HJGHLDSXC_1_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HJGHLDSXC_2_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HJGHLDSXC_3_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HJGHLDSXC_4_8bp-UDP0100	A592_Ailurus fulgens_RNA_71
HHJ7KDSXC_1_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HHJ7KDSXC_2_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HHJ7KDSXC_3_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HHJ7KDSXC_4_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HJGHLDSXC_1_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HJGHLDSXC_2_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HJGHLDSXC_3_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HJGHLDSXC_4_8bp-UDP0101	A572_Ammotragus lervia_RNA_72
HHJ7KDSXC_1_8bp-UDP0102	A172_Bison bonasus_RNA_73
HHJ7KDSXC_2_8bp-UDP0102	A172_Bison bonasus_RNA_73
HHJ7KDSXC_3_8bp-UDP0102	A172_Bison bonasus_RNA_73
HHJ7KDSXC_4_8bp-UDP0102	A172_Bison bonasus_RNA_73
HJGHLDSXC_1_8bp-UDP0102	A172_Bison bonasus_RNA_73
HJGHLDSXC_2_8bp-UDP0102	A172_Bison bonasus_RNA_73
HJGHLDSXC_3_8bp-UDP0102	A172_Bison bonasus_RNA_73
HJGHLDSXC_4_8bp-UDP0102	A172_Bison bonasus_RNA_73
HHJ7KDSXC_1_8bp-UDP0103	A307_Bison bonasus_RNA_74
HHJ7KDSXC_2_8bp-UDP0103	A307_Bison bonasus_RNA_74
HHJ7KDSXC_3_8bp-UDP0103	A307_Bison bonasus_RNA_74
HHJ7KDSXC_4_8bp-UDP0103	A307_Bison bonasus_RNA_74
HJGHLDSXC_1_8bp-UDP0103	A307_Bison bonasus_RNA_74
HJGHLDSXC_2_8bp-UDP0103	A307_Bison bonasus_RNA_74
HJGHLDSXC_3_8bp-UDP0103	A307_Bison bonasus_RNA_74
HJGHLDSXC_4_8bp-UDP0103	A307_Bison bonasus_RNA_74
HHJ7KDSXC_1_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HHJ7KDSXC_2_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HHJ7KDSXC_3_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HHJ7KDSXC_4_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HJGHLDSXC_1_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HJGHLDSXC_2_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HJGHLDSXC_3_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HJGHLDSXC_4_8bp-UDP0104	A143_Camelus bactrianus_RNA_75
HHJ7KDSXC_1_8bp-UDP0105	A270_Capra hircus_RNA_76
HHJ7KDSXC_2_8bp-UDP0105	A270_Capra hircus_RNA_76
HHJ7KDSXC_3_8bp-UDP0105	A270_Capra hircus_RNA_76
HHJ7KDSXC_4_8bp-UDP0105	A270_Capra hircus_RNA_76
HJGHLDSXC_1_8bp-UDP0105	A270_Capra hircus_RNA_76
HJGHLDSXC_2_8bp-UDP0105	A270_Capra hircus_RNA_76
HJGHLDSXC_3_8bp-UDP0105	A270_Capra hircus_RNA_76
HJGHLDSXC_4_8bp-UDP0105	A270_Capra hircus_RNA_76
HHJ7KDSXC_1_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HHJ7KDSXC_2_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HHJ7KDSXC_3_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HHJ7KDSXC_4_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HJGHLDSXC_1_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HJGHLDSXC_2_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HJGHLDSXC_3_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HJGHLDSXC_4_8bp-UDP0106	A470_Capra pyrenaica_RNA_77
HHJ7KDSXC_1_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HHJ7KDSXC_2_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HHJ7KDSXC_3_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HHJ7KDSXC_4_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HJGHLDSXC_1_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HJGHLDSXC_2_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HJGHLDSXC_3_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HJGHLDSXC_4_8bp-UDP0107	A535_Caribicus warreni_RNA_78
HHJ7KDSXC_1_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HHJ7KDSXC_2_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HHJ7KDSXC_3_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HHJ7KDSXC_4_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HJGHLDSXC_1_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HJGHLDSXC_2_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HJGHLDSXC_3_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HJGHLDSXC_4_8bp-UDP0108	A500_Casuarius casuarius_RNA_79
HHJ7KDSXC_1_8bp-UDP0109	A560_Cebuella pygmaea_RNA_80
