fli	names
H3MKMDSXF_1_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H3MKMDSXF_2_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H3MKMDSXF_3_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H3MKMDSXF_4_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H52FVDSXF_1_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H52FVDSXF_2_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H52FVDSXF_3_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H52FVDSXF_4_8bp-UDP0193V3	A576_Natrix helvetica_WGS_055
H52FVDSXF_1_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52FVDSXF_2_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52FVDSXF_3_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52FVDSXF_4_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52MFDSXF_1_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52MFDSXF_2_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52MFDSXF_3_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52MFDSXF_4_8bp-UDP0194V3	A598_Timon lepidus_WGS_058
H52FVDSXF_1_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52FVDSXF_2_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52FVDSXF_3_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52FVDSXF_4_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52MFDSXF_1_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52MFDSXF_2_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52MFDSXF_3_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52MFDSXF_4_8bp-UDP0195V3	A609_Muntiacus muntjak_WGS_059
H52FVDSXF_1_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52FVDSXF_2_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52FVDSXF_3_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52FVDSXF_4_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52MFDSXF_1_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52MFDSXF_2_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52MFDSXF_3_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52MFDSXF_4_8bp-UDP0196V3	A95_Leopardus pardalis_WGS_062
H52FVDSXF_1_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52FVDSXF_2_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52FVDSXF_3_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52FVDSXF_4_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52MFDSXF_1_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52MFDSXF_2_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52MFDSXF_3_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H52MFDSXF_4_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H7NJTDSXF_1_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H7NJTDSXF_2_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H7NJTDSXF_3_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H7NJTDSXF_4_8bp-UDP0225	A476_Suricata suricatta_WGS_161
H3MKMDSXF_1_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H3MKMDSXF_2_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H3MKMDSXF_3_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H3MKMDSXF_4_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H52FVDSXF_1_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H52FVDSXF_2_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H52FVDSXF_3_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H52FVDSXF_4_8bp-UDP0198	A404_Ailurus fulgens_WGS_162
H52FVDSXF_1_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52FVDSXF_2_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52FVDSXF_3_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52FVDSXF_4_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52MFDSXF_1_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52MFDSXF_2_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52MFDSXF_3_8bp-UDP0199	A205_Panthera pardus_WGS_116
H52MFDSXF_4_8bp-UDP0199	A205_Panthera pardus_WGS_116
