fli	names
H7WHWDSXF_1_8bp-UDP0289V2	A303_Scissirostrum dubium_WGS_171
H7WHWDSXF_2_8bp-UDP0289V2	A303_Scissirostrum dubium_WGS_171
H7WHWDSXF_3_8bp-UDP0289V2	A303_Scissirostrum dubium_WGS_171
H7WHWDSXF_4_8bp-UDP0289V2	A303_Scissirostrum dubium_WGS_171
H7WHWDSXF_1_8bp-UDP0290V2	A89_Gallinula chloropus_WGS_180
H7WHWDSXF_2_8bp-UDP0290V2	A89_Gallinula chloropus_WGS_180
H7WHWDSXF_3_8bp-UDP0290V2	A89_Gallinula chloropus_WGS_180
H7WHWDSXF_4_8bp-UDP0290V2	A89_Gallinula chloropus_WGS_180
H7WHWDSXF_1_8bp-UDP0291V2	A257_Eurypyga helias_WGS_183
H7WHWDSXF_2_8bp-UDP0291V2	A257_Eurypyga helias_WGS_183
H7WHWDSXF_3_8bp-UDP0291V2	A257_Eurypyga helias_WGS_183
H7WHWDSXF_4_8bp-UDP0291V2	A257_Eurypyga helias_WGS_183
H7VWWDSXF_1_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7VWWDSXF_2_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7VWWDSXF_3_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7VWWDSXF_4_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7WHWDSXF_1_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7WHWDSXF_2_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7WHWDSXF_3_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7WHWDSXF_4_8bp-UDP0292	A38_Ficedula hypoleuca_WGS_187
H7VWWDSXF_1_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7VWWDSXF_2_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7VWWDSXF_3_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7VWWDSXF_4_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7WHWDSXF_1_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7WHWDSXF_2_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7WHWDSXF_3_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7WHWDSXF_4_8bp-UDP0293	A39_Lamprotornis superbus_WGS_188
H7VWWDSXF_1_8bp-UDP0273	A552_Otus scops_WGS_191
H7VWWDSXF_2_8bp-UDP0273	A552_Otus scops_WGS_191
H7VWWDSXF_3_8bp-UDP0273	A552_Otus scops_WGS_191
H7VWWDSXF_4_8bp-UDP0273	A552_Otus scops_WGS_191
H7WHWDSXF_1_8bp-UDP0273	A552_Otus scops_WGS_191
H7WHWDSXF_2_8bp-UDP0273	A552_Otus scops_WGS_191
H7WHWDSXF_3_8bp-UDP0273	A552_Otus scops_WGS_191
H7WHWDSXF_4_8bp-UDP0273	A552_Otus scops_WGS_191
H7VWWDSXF_1_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7VWWDSXF_2_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7VWWDSXF_3_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7VWWDSXF_4_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7WHWDSXF_1_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7WHWDSXF_2_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7WHWDSXF_3_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7WHWDSXF_4_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
HCTHHDSXF_1_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
HCTHHDSXF_2_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
HCTHHDSXF_3_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
HCTHHDSXF_4_8bp-UDP0274	A358_Phoenicopterus ruber_WGS_192
H7WHWDSXF_1_8bp-UDP0294	A594_Rollulus rouloul_WGS_193
H7WHWDSXF_2_8bp-UDP0294	A594_Rollulus rouloul_WGS_193
H7WHWDSXF_3_8bp-UDP0294	A594_Rollulus rouloul_WGS_193
H7WHWDSXF_4_8bp-UDP0294	A594_Rollulus rouloul_WGS_193
H7WHWDSXF_1_8bp-UDP0295	A112_Anas platyrhynchos_WGS_195
H7WHWDSXF_2_8bp-UDP0295	A112_Anas platyrhynchos_WGS_195
H7WHWDSXF_3_8bp-UDP0295	A112_Anas platyrhynchos_WGS_195
H7WHWDSXF_4_8bp-UDP0295	A112_Anas platyrhynchos_WGS_195
H7WHWDSXF_1_8bp-UDP0296	A120_Columba livia_WGS_196
H7WHWDSXF_2_8bp-UDP0296	A120_Columba livia_WGS_196
H7WHWDSXF_3_8bp-UDP0296	A120_Columba livia_WGS_196
H7WHWDSXF_4_8bp-UDP0296	A120_Columba livia_WGS_196
H7WHWDSXF_1_8bp-UDP0297	A372_Tauraco leucotis_WGS_199
H7WHWDSXF_2_8bp-UDP0297	A372_Tauraco leucotis_WGS_199
H7WHWDSXF_3_8bp-UDP0297	A372_Tauraco leucotis_WGS_199
H7WHWDSXF_4_8bp-UDP0297	A372_Tauraco leucotis_WGS_199
H7WHWDSXF_1_8bp-UDP0298V3	A477_Parabuteo unicinctus_WGS_203
H7WHWDSXF_2_8bp-UDP0298V3	A477_Parabuteo unicinctus_WGS_203
H7WHWDSXF_3_8bp-UDP0298V3	A477_Parabuteo unicinctus_WGS_203
H7WHWDSXF_4_8bp-UDP0298V3	A477_Parabuteo unicinctus_WGS_203
H7WHWDSXF_1_8bp-UDP0299	A631_Falco cherrug_WGS_205
H7WHWDSXF_2_8bp-UDP0299	A631_Falco cherrug_WGS_205
H7WHWDSXF_3_8bp-UDP0299	A631_Falco cherrug_WGS_205
H7WHWDSXF_4_8bp-UDP0299	A631_Falco cherrug_WGS_205
H7WHWDSXF_1_8bp-UDP0300	A652_Platalea leucorodia_WGS_212
H7WHWDSXF_2_8bp-UDP0300	A652_Platalea leucorodia_WGS_212
