fli	names
H7VYYDSXF_1_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7VYYDSXF_2_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7VYYDSXF_3_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7VYYDSXF_4_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7Y2FDSXF_1_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7Y2FDSXF_2_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7Y2FDSXF_3_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7Y2FDSXF_4_8bp-UDP0121	A514_Camelus bactrianus_ATAC_62
H7VYYDSXF_1_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7VYYDSXF_2_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7VYYDSXF_3_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7VYYDSXF_4_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7Y2FDSXF_1_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7Y2FDSXF_2_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7Y2FDSXF_3_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7Y2FDSXF_4_8bp-UDP0122	A592_Ailurus fulgens_ATAC_63
H7VYYDSXF_1_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7VYYDSXF_2_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7VYYDSXF_3_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7VYYDSXF_4_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7Y2FDSXF_1_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7Y2FDSXF_2_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7Y2FDSXF_3_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7Y2FDSXF_4_8bp-UDP0123	A205_Panthera pardus_ATAC_64
H7VYYDSXF_1_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7VYYDSXF_2_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7VYYDSXF_3_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7VYYDSXF_4_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7Y2FDSXF_1_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7Y2FDSXF_2_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7Y2FDSXF_3_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7Y2FDSXF_4_8bp-UDP0124	A245_Oryx dammah_ATAC_65
H7VYYDSXF_1_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7VYYDSXF_2_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7VYYDSXF_3_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7VYYDSXF_4_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7Y2FDSXF_1_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7Y2FDSXF_2_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7Y2FDSXF_3_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7Y2FDSXF_4_8bp-UDP0125	A361_Crocodylus rhombifer_ATAC_66
H7W25DSXF_1_8bp-UDP0126	A394_Cebuella pygmaea_ATAC_67
H7W25DSXF_2_8bp-UDP0126	A394_Cebuella pygmaea_ATAC_67
H7W25DSXF_3_8bp-UDP0126	A394_Cebuella pygmaea_ATAC_67
H7W25DSXF_4_8bp-UDP0126	A394_Cebuella pygmaea_ATAC_67
H7VYYDSXF_1_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7VYYDSXF_2_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7VYYDSXF_3_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7VYYDSXF_4_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7Y2FDSXF_1_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7Y2FDSXF_2_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7Y2FDSXF_3_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7Y2FDSXF_4_8bp-UDP0127	A474_Ovis aries_ATAC_68
H7VYYDSXF_1_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7VYYDSXF_2_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7VYYDSXF_3_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7VYYDSXF_4_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7Y2FDSXF_1_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7Y2FDSXF_2_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7Y2FDSXF_3_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7Y2FDSXF_4_8bp-UDP0128	A615_Muntiacus reevesi_ATAC_69
H7VYYDSXF_1_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7VYYDSXF_2_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7VYYDSXF_3_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7VYYDSXF_4_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7Y2FDSXF_1_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7Y2FDSXF_2_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7Y2FDSXF_3_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7Y2FDSXF_4_8bp-UDP0129	A532_Notamacropus rufogriseus_ATAC_70
H7VYYDSXF_1_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7VYYDSXF_2_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7VYYDSXF_3_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7VYYDSXF_4_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7Y2FDSXF_1_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7Y2FDSXF_2_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7Y2FDSXF_3_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7Y2FDSXF_4_8bp-UDP0130	A472_Canis lupus_ATAC_71
H7VYYDSXF_1_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7VYYDSXF_2_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7VYYDSXF_3_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7VYYDSXF_4_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7Y2FDSXF_1_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7Y2FDSXF_2_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7Y2FDSXF_3_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7Y2FDSXF_4_8bp-UDP0131	A435_Ramphastos toco_ATAC_72
H7VYYDSXF_1_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7VYYDSXF_2_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7VYYDSXF_3_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7VYYDSXF_4_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7Y2FDSXF_1_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7Y2FDSXF_2_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7Y2FDSXF_3_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7Y2FDSXF_4_8bp-UDP0132	A555_Pteropus lylei_ATAC_73
H7VYYDSXF_1_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7VYYDSXF_2_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7VYYDSXF_3_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7VYYDSXF_4_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7Y2FDSXF_1_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7Y2FDSXF_2_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7Y2FDSXF_3_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7Y2FDSXF_4_8bp-UDP0133	A78_Oryx gazella_ATAC_74
H7VYYDSXF_1_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7VYYDSXF_2_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7VYYDSXF_3_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7VYYDSXF_4_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7Y2FDSXF_1_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7Y2FDSXF_2_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7Y2FDSXF_3_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7Y2FDSXF_4_8bp-UDP0134	A558_Lemur catta_ATAC_75
H7VYYDSXF_1_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7VYYDSXF_2_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7VYYDSXF_3_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7VYYDSXF_4_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7Y2FDSXF_1_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7Y2FDSXF_2_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7Y2FDSXF_3_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7Y2FDSXF_4_8bp-UDP0135	A493_Rangifer tarandus_ATAC_76
H7VYYDSXF_1_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7VYYDSXF_2_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7VYYDSXF_3_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7VYYDSXF_4_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7Y2FDSXF_1_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7Y2FDSXF_2_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7Y2FDSXF_3_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7Y2FDSXF_4_8bp-UDP0136	A326_Nycticorax nycticorax_ATAC_77
H7VYYDSXF_1_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7VYYDSXF_2_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7VYYDSXF_3_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7VYYDSXF_4_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7Y2FDSXF_1_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7Y2FDSXF_2_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7Y2FDSXF_3_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7Y2FDSXF_4_8bp-UDP0137	A185_Aratinga solstitialis_ATAC_78
H7VYYDSXF_1_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7VYYDSXF_2_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7VYYDSXF_3_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7VYYDSXF_4_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7Y2FDSXF_1_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7Y2FDSXF_2_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7Y2FDSXF_3_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7Y2FDSXF_4_8bp-UDP0138	A346_Jacana jacana_ATAC_79
H7VYYDSXF_1_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7VYYDSXF_2_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7VYYDSXF_3_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7VYYDSXF_4_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7Y2FDSXF_1_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7Y2FDSXF_2_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7Y2FDSXF_3_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7Y2FDSXF_4_8bp-UDP0139	A530_Papio cynocephalus_ATAC_80
H7VYYDSXF_1_8bp-UDP0140	A475_Rangifer tarandus_ATAC_81
H7VYYDSXF_2_8bp-UDP0140	A475_Rangifer tarandus_ATAC_81
H7VYYDSXF_3_8bp-UDP0140	A475_Rangifer tarandus_ATAC_81
H7VYYDSXF_4_8bp-UDP0140	A475_Rangifer tarandus_ATAC_81
H7Y2FDSXF_1_8bp-UDP0140	A475_Rangifer tarandus_ATAC_81
H7Y2FDSXF_2_8bp-UDP0140	A475_Rangifer tarandus_ATAC_81
