fli	names
HHJ7KDSXC_1_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HHJ7KDSXC_2_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HHJ7KDSXC_3_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HHJ7KDSXC_4_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HJGHLDSXC_1_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HJGHLDSXC_2_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HJGHLDSXC_3_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HJGHLDSXC_4_8bp-UDP0001	A495_Bos grunniens_ATAC_22
HHJ7KDSXC_1_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HHJ7KDSXC_2_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HHJ7KDSXC_3_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HHJ7KDSXC_4_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HJGHLDSXC_1_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HJGHLDSXC_2_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HJGHLDSXC_3_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HJGHLDSXC_4_8bp-UDP0002	A70_Dolichotis patagonum_ATAC_23
HHJ7KDSXC_1_8bp-UDP0003	A489_Equus caballus_ATAC_24
HHJ7KDSXC_2_8bp-UDP0003	A489_Equus caballus_ATAC_24
HHJ7KDSXC_3_8bp-UDP0003	A489_Equus caballus_ATAC_24
HHJ7KDSXC_4_8bp-UDP0003	A489_Equus caballus_ATAC_24
HJGHLDSXC_1_8bp-UDP0003	A489_Equus caballus_ATAC_24
HJGHLDSXC_2_8bp-UDP0003	A489_Equus caballus_ATAC_24
HJGHLDSXC_3_8bp-UDP0003	A489_Equus caballus_ATAC_24
HJGHLDSXC_4_8bp-UDP0003	A489_Equus caballus_ATAC_24
HHJ7KDSXC_1_8bp-UDP0004	A260_Equus quagga_ATAC_25
HHJ7KDSXC_2_8bp-UDP0004	A260_Equus quagga_ATAC_25
HHJ7KDSXC_3_8bp-UDP0004	A260_Equus quagga_ATAC_25
HHJ7KDSXC_4_8bp-UDP0004	A260_Equus quagga_ATAC_25
HJGHLDSXC_1_8bp-UDP0004	A260_Equus quagga_ATAC_25
HJGHLDSXC_2_8bp-UDP0004	A260_Equus quagga_ATAC_25
HJGHLDSXC_3_8bp-UDP0004	A260_Equus quagga_ATAC_25
HJGHLDSXC_4_8bp-UDP0004	A260_Equus quagga_ATAC_25
HHJ7KDSXC_1_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HHJ7KDSXC_2_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HHJ7KDSXC_3_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HHJ7KDSXC_4_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HJGHLDSXC_1_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HJGHLDSXC_2_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HJGHLDSXC_3_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HJGHLDSXC_4_8bp-UDP0005	A522_Gorilla gorilla_ATAC_26
HHJ7KDSXC_1_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HHJ7KDSXC_2_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HHJ7KDSXC_3_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HHJ7KDSXC_4_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HJGHLDSXC_1_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HJGHLDSXC_2_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HJGHLDSXC_3_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HJGHLDSXC_4_8bp-UDP0006	A11_Pan troglodytes_ATAC_27
HHJ7KDSXC_1_8bp-UDP0007	A65_Panthera leo_ATAC_28
HHJ7KDSXC_2_8bp-UDP0007	A65_Panthera leo_ATAC_28
HHJ7KDSXC_3_8bp-UDP0007	A65_Panthera leo_ATAC_28
HHJ7KDSXC_4_8bp-UDP0007	A65_Panthera leo_ATAC_28
HHJ7KDSXC_1_8bp-UDP0008	A462_Panthera tigris_ATAC_29
HHJ7KDSXC_2_8bp-UDP0008	A462_Panthera tigris_ATAC_29
HHJ7KDSXC_3_8bp-UDP0008	A462_Panthera tigris_ATAC_29
HHJ7KDSXC_4_8bp-UDP0008	A462_Panthera tigris_ATAC_29
HHJ7KDSXC_1_8bp-UDP0009	A247_Phacochoerus africanus_ATAC_30
HHJ7KDSXC_2_8bp-UDP0009	A247_Phacochoerus africanus_ATAC_30
HHJ7KDSXC_3_8bp-UDP0009	A247_Phacochoerus africanus_ATAC_30
HHJ7KDSXC_4_8bp-UDP0009	A247_Phacochoerus africanus_ATAC_30
HHJ7KDSXC_1_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HHJ7KDSXC_2_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HHJ7KDSXC_3_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HHJ7KDSXC_4_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HJGHLDSXC_1_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HJGHLDSXC_2_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HJGHLDSXC_3_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HJGHLDSXC_4_8bp-UDP0010	A289_Phacochoerus africanus_ATAC_31
HHJ7KDSXC_1_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HHJ7KDSXC_2_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HHJ7KDSXC_3_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HHJ7KDSXC_4_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HJGHLDSXC_1_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HJGHLDSXC_2_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HJGHLDSXC_3_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HJGHLDSXC_4_8bp-UDP0011	A318_Pongo pygmaeus_ATAC_32
HHJ7KDSXC_1_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HHJ7KDSXC_2_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HHJ7KDSXC_3_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HHJ7KDSXC_4_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HJGHLDSXC_1_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HJGHLDSXC_2_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HJGHLDSXC_3_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HJGHLDSXC_4_8bp-UDP0012	A461_Pongo pygmaeus_ATAC_33
HHJ7KDSXC_1_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HHJ7KDSXC_2_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HHJ7KDSXC_3_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HHJ7KDSXC_4_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HJGHLDSXC_1_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HJGHLDSXC_2_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HJGHLDSXC_3_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HJGHLDSXC_4_8bp-UDP0013	A469_Procavia capensis_ATAC_34
HHJ7KDSXC_1_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HHJ7KDSXC_2_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HHJ7KDSXC_3_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HHJ7KDSXC_4_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HJGHLDSXC_1_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HJGHLDSXC_2_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HJGHLDSXC_3_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HJGHLDSXC_4_8bp-UDP0014	A526_Zalophus californianus_ATAC_35
HHJ7KDSXC_1_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HHJ7KDSXC_2_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HHJ7KDSXC_3_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HHJ7KDSXC_4_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HJGHLDSXC_1_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HJGHLDSXC_2_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HJGHLDSXC_3_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HJGHLDSXC_4_8bp-UDP0015	A583_Aepyceros melampus_ATAC_36
HJJWJDSXC_1_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HJJWJDSXC_2_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HJJWJDSXC_3_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HJJWJDSXC_4_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HVG7FDSXC_1_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HVG7FDSXC_2_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HVG7FDSXC_3_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HVG7FDSXC_4_8bp-UDP0016	A176_Ailuropoda melanoleuca_ATAC_37
HJJWJDSXC_1_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HJJWJDSXC_2_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HJJWJDSXC_3_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HJJWJDSXC_4_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HVG7FDSXC_1_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HVG7FDSXC_2_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HVG7FDSXC_3_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HVG7FDSXC_4_8bp-UDP0017	A404_Ailurus fulgens_ATAC_38
HJJWJDSXC_1_8bp-UDP0018	A73_Ateles hybridus_ATAC_39
