fli	names
HHJKKDSXC_1_8bp-UDP0129	A367_Amazona aestiva_WGS_002
HHJKKDSXC_2_8bp-UDP0129	A367_Amazona aestiva_WGS_002
HHJKKDSXC_3_8bp-UDP0129	A367_Amazona aestiva_WGS_002
HHJKKDSXC_4_8bp-UDP0129	A367_Amazona aestiva_WGS_002
HHJKKDSXC_1_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJKKDSXC_2_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJKKDSXC_3_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJKKDSXC_4_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJY3DSXC_1_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJY3DSXC_2_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJY3DSXC_3_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJY3DSXC_4_8bp-UDP0130	A591_Caloenas nicobarica_WGS_005
HHJKKDSXC_1_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJKKDSXC_2_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJKKDSXC_3_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJKKDSXC_4_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJY3DSXC_1_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJY3DSXC_2_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJY3DSXC_3_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJY3DSXC_4_8bp-UDP0131	A500_Casuarius casuarius_WGS_006
HHJKKDSXC_1_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJKKDSXC_2_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJKKDSXC_3_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJKKDSXC_4_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJY3DSXC_1_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJY3DSXC_2_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJY3DSXC_3_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJY3DSXC_4_8bp-UDP0132	A535_Caribicus warreni_WGS_007
HHJKKDSXC_1_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJKKDSXC_2_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJKKDSXC_3_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJKKDSXC_4_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJY3DSXC_1_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJY3DSXC_2_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJY3DSXC_3_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJY3DSXC_4_8bp-UDP0133	A519_Eudocimus ruber_WGS_011
HHJKKDSXC_1_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJKKDSXC_2_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJKKDSXC_3_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJKKDSXC_4_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJY3DSXC_1_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJY3DSXC_2_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJY3DSXC_3_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJY3DSXC_4_8bp-UDP0134	A517_Pavo cristatus_WGS_017
HHJKKDSXC_1_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJKKDSXC_2_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJKKDSXC_3_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJKKDSXC_4_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJY3DSXC_1_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJY3DSXC_2_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJY3DSXC_3_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJY3DSXC_4_8bp-UDP0135	A502_Pelecanus crispus_WGS_018
HHJKKDSXC_1_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJKKDSXC_2_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJKKDSXC_3_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJKKDSXC_4_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJY3DSXC_1_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJY3DSXC_2_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJY3DSXC_3_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJY3DSXC_4_8bp-UDP0136	A573_Penelopides panini_WGS_019
HHJKKDSXC_1_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJKKDSXC_2_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJKKDSXC_3_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJKKDSXC_4_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJY3DSXC_1_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJY3DSXC_2_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJY3DSXC_3_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJY3DSXC_4_8bp-UDP0137	A263_Platalea leucorodia_WGS_020
HHJKKDSXC_1_8bp-UDP0138	A565_Porphyrio porphyrio_WGS_022
HHJKKDSXC_2_8bp-UDP0138	A565_Porphyrio porphyrio_WGS_022
