fli	names
H3MKMDSXF_1_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H3MKMDSXF_2_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H3MKMDSXF_3_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H3MKMDSXF_4_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H52FVDSXF_1_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H52FVDSXF_2_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H52FVDSXF_3_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H52FVDSXF_4_8bp-UDP0233	A268_Varanus prasinus_WGS_043
H3MKMDSXF_1_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H3MKMDSXF_2_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H3MKMDSXF_3_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H3MKMDSXF_4_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H52FVDSXF_1_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H52FVDSXF_2_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H52FVDSXF_3_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H52FVDSXF_4_8bp-UDP0234	A480_Graptemys pseudogeographica_WGS_046
H52FVDSXF_1_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52FVDSXF_2_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52FVDSXF_3_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52FVDSXF_4_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52MFDSXF_1_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52MFDSXF_2_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52MFDSXF_3_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H52MFDSXF_4_8bp-UDP0253	A516_Trachyphonus erythrocephalus_WGS_049
H3MKMDSXF_1_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H3MKMDSXF_2_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H3MKMDSXF_3_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H3MKMDSXF_4_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H52FVDSXF_1_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H52FVDSXF_2_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H52FVDSXF_3_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H52FVDSXF_4_8bp-UDP0235	A549_Mauremys leprosa_WGS_053
H3MKMDSXF_1_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H3MKMDSXF_2_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H3MKMDSXF_3_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H3MKMDSXF_4_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H52FVDSXF_1_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H52FVDSXF_2_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H52FVDSXF_3_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H52FVDSXF_4_8bp-UDP0236	A562_Zamenis scalaris_WGS_054
H3MKMDSXF_1_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H3MKMDSXF_2_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H3MKMDSXF_3_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H3MKMDSXF_4_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H52FVDSXF_1_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H52FVDSXF_2_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H52FVDSXF_3_8bp-UDP0237	A597_Coronella austriaca_WGS_057
H52FVDSXF_4_8bp-UDP0237	A597_Coronella austriaca_WGS_057
