fli	names
H3MKMDSXF_1_8bp-UDP0169	A596_Saguinus midas_WGS_056
H3MKMDSXF_2_8bp-UDP0169	A596_Saguinus midas_WGS_056
H3MKMDSXF_3_8bp-UDP0169	A596_Saguinus midas_WGS_056
H3MKMDSXF_4_8bp-UDP0169	A596_Saguinus midas_WGS_056
H52TWDSXF_1_8bp-UDP0169	A596_Saguinus midas_WGS_056
H52TWDSXF_2_8bp-UDP0169	A596_Saguinus midas_WGS_056
H52TWDSXF_3_8bp-UDP0169	A596_Saguinus midas_WGS_056
H52TWDSXF_4_8bp-UDP0169	A596_Saguinus midas_WGS_056
H7NJTDSXF_1_8bp-UDP0169	A596_Saguinus midas_WGS_056
H7NJTDSXF_2_8bp-UDP0169	A596_Saguinus midas_WGS_056
H7NJTDSXF_3_8bp-UDP0169	A596_Saguinus midas_WGS_056
H7NJTDSXF_4_8bp-UDP0169	A596_Saguinus midas_WGS_056
H3MKMDSXF_1_8bp-UDP0170	A610_Sapajus apella_WGS_060
H3MKMDSXF_2_8bp-UDP0170	A610_Sapajus apella_WGS_060
H3MKMDSXF_3_8bp-UDP0170	A610_Sapajus apella_WGS_060
H3MKMDSXF_4_8bp-UDP0170	A610_Sapajus apella_WGS_060
H52TWDSXF_1_8bp-UDP0170	A610_Sapajus apella_WGS_060
H52TWDSXF_2_8bp-UDP0170	A610_Sapajus apella_WGS_060
H52TWDSXF_3_8bp-UDP0170	A610_Sapajus apella_WGS_060
H52TWDSXF_4_8bp-UDP0170	A610_Sapajus apella_WGS_060
H7NJTDSXF_1_8bp-UDP0170	A610_Sapajus apella_WGS_060
H7NJTDSXF_2_8bp-UDP0170	A610_Sapajus apella_WGS_060
H7NJTDSXF_3_8bp-UDP0170	A610_Sapajus apella_WGS_060
H7NJTDSXF_4_8bp-UDP0170	A610_Sapajus apella_WGS_060
H52HYDSXF_1_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
H52HYDSXF_2_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
H52HYDSXF_3_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
H52HYDSXF_4_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
H52MTDSXF_1_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
H52MTDSXF_2_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
H52MTDSXF_3_8bp-UDP0171	A79_Gazella cuvieri_WGS_061
