fli	names
HHJKKDSXC_1_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJKKDSXC_2_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJKKDSXC_3_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJKKDSXC_4_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJY3DSXC_1_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJY3DSXC_2_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJY3DSXC_3_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJY3DSXC_4_8bp-UDP0158	A583_Aepyceros melampus_WGS_029
HHJKKDSXC_1_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJKKDSXC_2_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJKKDSXC_3_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJKKDSXC_4_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJY3DSXC_1_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJY3DSXC_2_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJY3DSXC_3_8bp-UDP0159	A172_Bison bonasus_WGS_036
HHJY3DSXC_4_8bp-UDP0159	A172_Bison bonasus_WGS_036
