fli	names
H52HYDSXF_1_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52HYDSXF_2_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52HYDSXF_3_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52HYDSXF_4_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52JMDSXF_1_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52JMDSXF_2_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52JMDSXF_3_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52JMDSXF_4_8bp-UDP0238	A307_Bison bonasus_WGS_119
H52HYDSXF_1_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52HYDSXF_2_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52HYDSXF_3_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52HYDSXF_4_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52JMDSXF_1_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52JMDSXF_2_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52JMDSXF_3_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52JMDSXF_4_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52MTDSXF_1_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52MTDSXF_2_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52MTDSXF_3_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52MTDSXF_4_8bp-UDP0239	A183_Cercocebus torquatus_WGS_101
H52HYDSXF_1_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
H52HYDSXF_2_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
H52HYDSXF_3_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
H52HYDSXF_4_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
H52JMDSXF_1_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
H52JMDSXF_2_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
H52JMDSXF_3_8bp-UDP0240	A67_Aepyceros melampus_WGS_090
